"Neighbor","Role","Joined Neighborhood","Strikes","Next Strike Expiration","Number of Derbies"
"Lucky","Member","4/1/2022","0","n/a",""
"Rylan","Co-Leader","4/1/2022","0","n/a",""
"Kemzow","Leader","4/1/2022","0","n/a",""
"Dovile","Member","4/1/2022","0","n/a",""
"Nostradavemus","Member","4/1/2022","0","n/a",""
"Macelleria da Ross","Member","4/1/2022","0","n/a",""
"Ebony","Member","4/1/2022","0","n/a",""
"Bella Vista","Member","4/30/2022","0","n/a",""
"Dakind Grinds","Member","4/1/2022","0","n/a",""
"Skye","Elder","4/1/2022","0","n/a",""
"Herregarden","Member","4/1/2022","0","n/a",""
"Ram Ranch By Cymon","Member","4/1/2022","0","n/a",""
"Stardew","Elder","4/1/2022","0","n/a",""
"Wheaton","Co-Leader","4/1/2022","2","6/28/2022",""
"Wisteria","Elder","4/1/2022","0","n/a",""
"Em","Member","4/1/2022","0","n/a",""
"Viol","Member","4/1/2022","0","n/a",""
"Heymanns","Member","4/1/2022","0","n/a",""
"Alex","Member","4/1/2022","0","n/a",""
"Grande Fattoria Del Sium","Member","4/1/2022","0","n/a",""
"Ram Ranch","Member","4/1/2022","1","7/8/2022",""
"The Farm","Member","4/1/2022","0","n/a",""
"Christopher","Member","4/1/2022","0","n/a",""
"Sagar","Member","4/1/2022","0","n/a",""
"FarmVille","Member","4/1/2022","0","n/a",""
"Lisa","Member","4/1/2022","1","7/22/2022",""
"Bethlehem","Member","4/1/2022","0","n/a",""
"Ray","Member","4/1/2022","0","n/a",""
"Urban","Member","4/1/2022","0","n/a",""
"Couchpotatoe918","Member","5/9/2022","0","n/a",""